distribution,pga_g,comparable_scale
local_P695_scaled_analysis_all_sets,0.3121592,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.0765926,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.31769235,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.64557125,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.14649194,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.3132501,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.5127456,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.55411625,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.1097705,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.351119,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.24722257,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.8233905000000001,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.4417138,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.06243184000000001,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.46823880000000007,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.5494542,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.25465335,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.52557875,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.33128535,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,1.2336435,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.788525875,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.42462112500000004,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.502749,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.26333925,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.450438,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.8829377500000001,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.23411940000000003,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.44479485,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.35535724999999996,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.509338,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.386097,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.08395065,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.15459983,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.4833936,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.20954735,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.11786914999999999,scaled analysis input PGA
