method,scenario,split_id,alpha,selected_margin,calibration_risk_stat,test_false_safe_rate_given_unsafe,test_false_safe_rate_among_accepted,test_accepted_coverage
cp_bonferroni_upper95,exchangeable_retained_rc_wall,48,0.02,0.5,0.008172922639485554,0.004556607080266386,0.0028998438545616775,0.42784882611185343
cp_bonferroni_upper95,exchangeable_retained_rc_wall,49,0.02,0.5,0.007248808000536188,0.005239259517988124,0.003356455582904453,0.4265126932620729
cp_bonferroni_upper95,domain_blocked_rc_wall_to_esm,0,0.02,0.5,0.006987599001271808,0.020833333333333332,0.020048115477145148,0.33931972789115644
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed0:esm:EMSC-20161026_0000095,0.02,0.75,0.011897389017134276,,0.0,0.5102040816326531
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed0:esm:EMSC-20161030_0000029,0.02,0.75,0.013624081923536834,0.0,0.0,0.008333333333333333
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed0:esm:INT-20230206_0000008,0.02,0.75,0.014490006015071815,0.0,0.0,0.44541484716157204
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed0:esm:INT-20230206_0000222,0.02,0.75,0.012685496735571417,0.0,0.0,0.02564102564102564
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed0:esm:INT-UT19990920_174715,0.02,0.75,0.01867187251494627,0.0,0.0,0.010050251256281407
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed0:esm:INT-UT19991022_021856,0.02,0.75,0.011897389017134276,,0.0,0.527027027027027
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed0:esm:IS-2000-0048,0.02,0.75,0.011897389017134276,,0.0,0.05128205128205128
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed0:esm:IS-2000-0053,0.02,0.75,0.013066334331128453,0.0,0.0,0.1791044776119403
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed0:esm:IS-2008-0054,0.02,0.75,0.011956816037693208,0.0,0.0,0.023809523809523808
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed0:esm:TK-1999-0415,0.02,0.75,0.012685496735571417,0.0,0.0,0.037037037037037035
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed0:esm:UZ-1976-0001,0.02,0.75,0.013320822995623694,0.0,0.0,0.04838709677419355
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed1:esm:EMSC-20161026_0000095,0.02,0.75,0.011897389017134276,,0.0,0.5102040816326531
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed1:esm:EMSC-20161030_0000029,0.02,0.75,0.013624081923536834,0.0,0.0,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed1:esm:INT-20230206_0000008,0.02,0.75,0.014490006015071815,0.0,0.0,0.4192139737991266
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed1:esm:INT-20230206_0000222,0.02,0.75,0.012685496735571417,0.0,0.0,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed1:esm:INT-UT19990920_174715,0.02,0.75,0.01867187251494627,0.0,0.0,0.04020100502512563
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed1:esm:INT-UT19991022_021856,0.02,0.75,0.011897389017134276,,0.0,0.527027027027027
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed1:esm:IS-2000-0048,0.02,0.75,0.011897389017134276,,0.0,0.05128205128205128
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed1:esm:IS-2000-0053,0.02,0.75,0.013066334331128453,0.0,0.0,0.12686567164179105
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed1:esm:IS-2008-0054,0.02,0.75,0.011956816037693208,0.0,0.0,0.03571428571428571
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed1:esm:TK-1999-0415,0.02,0.75,0.012685496735571417,0.0,0.0,0.037037037037037035
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed1:esm:UZ-1976-0001,0.02,0.75,0.013320822995623694,0.0,0.0,0.016129032258064516
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed2:esm:EMSC-20161026_0000095,0.02,0.75,0.011897389017134276,,0.0,0.5102040816326531
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed2:esm:EMSC-20161030_0000029,0.02,0.75,0.013624081923536834,0.0,0.0,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed2:esm:INT-20230206_0000008,0.02,0.75,0.014490006015071815,0.0,0.0,0.4759825327510917
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed2:esm:INT-20230206_0000222,0.02,0.75,0.012685496735571417,0.0,0.0,0.02564102564102564
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed2:esm:INT-UT19990920_174715,0.02,0.75,0.01867187251494627,0.0,0.0,0.01507537688442211
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed2:esm:INT-UT19991022_021856,0.02,0.75,0.011897389017134276,,0.0,0.4864864864864865
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed2:esm:IS-2000-0048,0.02,0.75,0.011897389017134276,,0.0,0.05128205128205128
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed2:esm:IS-2000-0053,0.02,0.75,0.013066334331128453,0.0,0.0,0.15671641791044777
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed2:esm:IS-2008-0054,0.02,0.75,0.011956816037693208,0.0,0.0,0.023809523809523808
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed2:esm:TK-1999-0415,0.02,0.75,0.012685496735571417,0.0,0.0,0.037037037037037035
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed2:esm:UZ-1976-0001,0.02,0.75,0.013320822995623694,0.0,0.0,0.0
cp_bonferroni_upper95,exchangeable_retained_rc_wall,0,0.05,0.5,0.00820765661647406,0.004537521815008726,0.0029639762881896944,0.41859133422408856
cp_bonferroni_upper95,exchangeable_retained_rc_wall,1,0.05,0.5,0.008022966256954466,0.004642857142857143,0.002935862691960253,0.42259973277343005
cp_bonferroni_upper95,exchangeable_retained_rc_wall,2,0.05,0.5,0.009091182313152892,0.003861003861003861,0.0024724657226342997,0.42460393204810076
cp_bonferroni_upper95,exchangeable_retained_rc_wall,3,0.05,0.5,0.00935915605082663,0.0035829451809387316,0.0022396416573348264,0.4261309410192785
cp_bonferroni_upper95,exchangeable_retained_rc_wall,4,0.05,0.5,0.007100527185228714,0.005349500713266762,0.0033579583613163196,0.4263218171406757
cp_bonferroni_upper95,exchangeable_retained_rc_wall,5,0.05,0.5,0.009005563958996035,0.0038979447200566974,0.002434705621956618,0.43118915823630466
cp_bonferroni_upper95,exchangeable_retained_rc_wall,6,0.05,0.5,0.007233446315708785,0.005250262513125656,0.003311989401633915,0.4322389769039893
cp_bonferroni_upper95,exchangeable_retained_rc_wall,7,0.05,0.5,0.008574012528654824,0.0042387848816672555,0.0026637069922308544,0.42994846344722276
cp_bonferroni_upper95,exchangeable_retained_rc_wall,8,0.05,0.5,0.007274556317177028,0.005221023320570832,0.0033311125916055963,0.42975758732582553
cp_bonferroni_upper95,exchangeable_retained_rc_wall,9,0.05,0.5,0.008101496143618667,0.004596888260254597,0.0028888888888888888,0.42947127314372974
cp_bonferroni_upper95,exchangeable_retained_rc_wall,10,0.05,0.5,0.008604120325903169,0.004223864836325237,0.0026875699888017916,0.4261309410192785
cp_bonferroni_upper95,exchangeable_retained_rc_wall,11,0.05,0.5,0.007200385003840993,0.005274261603375527,0.0033274179236912156,0.43023477762931855
cp_bonferroni_upper95,exchangeable_retained_rc_wall,12,0.05,0.5,0.007308303862021102,0.005197505197505198,0.0034036759700476512,0.4205955334987593
cp_bonferroni_upper95,exchangeable_retained_rc_wall,13,0.05,0.5,0.00955365185486147,0.0035087719298245615,0.0022361359570661895,0.4267990074441687
cp_bonferroni_upper95,exchangeable_retained_rc_wall,14,0.05,0.5,0.010536578390431641,0.0027874564459930314,0.0017893088794453142,0.42670356938347015
cp_bonferroni_upper95,exchangeable_retained_rc_wall,15,0.05,0.5,0.00816716220460616,0.004559803577692038,0.0028972587474927567,0.42823057835464784
cp_bonferroni_upper95,exchangeable_retained_rc_wall,16,0.05,0.5,0.0081642850311336,0.004561403508771929,0.0029180695847362513,0.4251765604122924
cp_bonferroni_upper95,exchangeable_retained_rc_wall,17,0.05,0.5,0.007794152705355674,0.0048493245583650845,0.003148897885739991,0.42431761786600497
cp_bonferroni_upper95,exchangeable_retained_rc_wall,18,0.05,0.5,0.007185227654565825,0.005285412262156448,0.003341501447983961,0.42842145447604507
cp_bonferroni_upper95,exchangeable_retained_rc_wall,19,0.05,0.5,0.009863635747834712,0.003205128205128205,0.0019995556542990447,0.42956671120442835
